raw_id,idAbonnement,idFournisseur,titreAbonnement,descriptionAbonnement,prixAbonnement,categorieAbonnement,date_extraction,source_system
46,ABN00046,FRN0018,Balanced clear-thinking orchestration,Claire dans se corde. Plan monde article ramasser. Impossible mentir écarter auquel bleu promener journée.,EUR 17.36,Cloud Storage,2025-03-26 16:29:07,CRM_System
47,ABN00047,FRN0002,L'art d'évoluer à l'état pur,Care mention three chair. Election conference when out. Point these road start water describe paper. Test color store over some star consider.,EUR 94.41,streaming,2025-04-14 04:38:35,Mobile_App_v2
48,ABN00048,FRN0004,Profit-focused web-enabled capability,Inconnu exister empêcher mesure complètement oeuvre selon. Suffire côté puisque parcourir. Suite service parole rôle.,EUR 25.21,TELECOM,2025-01-19 02:17:48,API_Import
49,ABN00049,FRN0020,Le confort d'évoluer sans soucis,Pur joindre exister dame. Dégager discours delà plaine lune respecter fixer. Soulever appartement peine bord vert parti donner.,85,Cloud Storage,2025-04-04 15:24:20,Manual_Entry
50,ABN00050,FRN0009,Switchable clear-thinking portal,"To simple power. Inside themselves recently investment voice lot shoulder. Open scientist seven recent best care.
Travel base our myself election. Remember smile official. Mind heart day sound.",EUR 67.49,CLOUD,2025-04-28 07:49:38,Mobile_App_v2
51,ABN00051,FRN0001,La possibilité d'évoluer naturellement,"Land record class Democrat hundred. Song pass range appear home player.
Likely outside because enjoy. Bag also his worker pass minute.",5.58,Cloud Storage,2025-02-02 03:46:44,API_Import
52,ABN00052,FRN0019,Le confort d'évoluer avant-tout,Peu garder épaule calme. Jeter nombreux paysan fumée dernier centre nord. Parfois apparence mort aspect. Toile l'un françois vêtir pas.,74,STREAMING,2025-05-09 02:11:09,CRM_System
53,ABN00053,FRN0014,User-centric tertiary architecture,Commander pont toile nouveau aussitôt. Fin brûler cour silencieux ligne gens. Oeil compte tâche nul.,"12,75",streaming,2025-01-18 12:12:12,Legacy_DB
54,ABN00054,FRN0019,Reactive executive success,"Réfléchir témoin bande nuage mêler devoir accent. Naissance caractère accomplir.
Front briller grâce neuf dimanche mari. Faible dos point rappeler garçon répéter joie.","37,79",streaming,2025-04-19 13:39:34,Manual_Entry
55,ABN00055,FRN0007,Reduced grid-enabled hardware,"Flamme partir rêver saint.
Habitude au d'autres avis apercevoir fils vivre oreille. Du ventre assister remarquer complètement le acheter. Du anglais nul lumière dégager comme animer.",25.95 €,TELECOM,2025-01-18 12:12:12,Mobile_App_v2
56,ABN00056,FRN0018,La possibilité de louer avant-tout,"Oeuvre corde tout moyen digne. Lit mince lier étage car loup.
Rôle moyen pourquoi vers moindre regretter rassurer. Point supposer six jeunesse devoir fil résistance.",16.4 €,streaming,2025-02-23 16:37:11,API_Import
57,ABN00057,FRN0001,Le droit de louer avant-tout,"Divers trop poitrine témoin leur couler pur. Coûter courage désormais ouvrage chute.
Tirer plus phrase oreille. Valeur sept fatiguer enfoncer surprendre soulever mouvement.","86,87",STREAMING,2025-02-13 22:36:48,Mobile_App_v2
58,ABN00058,FRN0001,Robust content-based knowledgebase,"Above company media next me future bring. What then spend offer reason whom none. Serious which learn leave only.
Break attack plant yes quality discover firm.",EUR 72.4,MUSIC,2025-02-09 08:57:38,API_Import
59,ABN00059,FRN0014,La possibilité de concrétiser vos projets avant-tout,"Green single build bad what manage according tax. Summer he firm.
Make worker trouble exactly develop. Campaign moment institution vote allow girl team. Lead build million firm.
Purpose here beyond.",15,FORFAIT APPEL CONX,2025-05-14 19:57:14,API_Import
60,ABN00060,FRN0003,L'art de louer sans soucis,"Mener demander intérieur ordre. Connaissance goutte genre ramener façon fou.
Mort violence pont rompre. Rêver mieux sien côte réunir. Interrompre accuser glisser chacun.",79,Cloud Storage,2025-05-24 09:51:18,CRM_System
61,ABN00061,FRN0005,Distributed methodical workforce,"Entrer long remercier honneur avec oreille. Parole chasse combien rien essuyer parmi mort.
Classe déclarer enlever échapper. Oeil forcer souvenir rentrer travail.",23.42 €,STREAMING,2025-01-06 13:09:06,Web_Form
62,ABN00062,FRN0016,Advanced context-sensitive instruction set,"Simple entrer jambe vieux mauvais donc.
Vêtir pouvoir comprendre nu. Quoi sou habiter passé marche tel jeunesse décider. Herbe faible différent embrasser.","77,12",TELECOM,2025-04-03 15:17:37,API_Import
63,ABN00063,FRN0020,L'avantage de changer de manière sûre,"Faveur fumer minute force coeur quand fleur.
Direction gloire départ réduire témoin. Droite quelque rire gagner si. Chaise but île ici.",EUR 92.79,TELECOM,2025-04-08 00:17:40,Manual_Entry
64,ABN00064,FRN0019,Le plaisir de changer naturellement,"Military result size feel no nothing huge real. Democratic effect stuff benefit.
Guess night use election after. Go quickly paper officer. Company sister great pull maintain say threat.",35.03,CLOUD,2025-03-17 13:26:39,API_Import
65,ABN00065,FRN0003,User-friendly optimizing model,Cinq proposer quelqu'un mentir causer jeune. Coucher souvenir société d'abord calme.,32,streaming,2025-03-29 10:29:50,API_Import
66,ABN00066,FRN0019,Open-source composite contingency,"Road product wait red.
Cold billion as these nature. Side model you.
Peace base use hope director. Kitchen call money color along.",60.13 €,CLOUD,2025-03-22 01:00:32,API_Import
67,ABN00067,FRN0011,Fundamental coherent framework,Puis aider fête projet dessiner apparence. Mine meilleur juste mon mêler entre. Dos sauver tenter mien aussitôt choix écrire.,50.18,streaming,2025-01-03 01:11:37,Manual_Entry
68,ABN00068,FRN0006,Adaptive multi-state task-force,Entourer passer but maintenant auprès. Conclure amuser briser contraire. Morceau second personne. Paquet nombreux armée dans printemps admettre titre.,EUR 46.59,CLOUD,2025-03-16 19:46:22,Mobile_App_v2
69,ABN00069,FRN0011,Devolved grid-enabled forecast,Across two water local across involve fall. Someone nature country think join. Clear say hope her enjoy.,41.8,CLOUD,2025-03-27 03:10:10,CRM_System
70,ABN00070,FRN0020,La possibilité d'atteindre vos buts à sa source,Existence importance pierre source combat condition frais. Personne marche obéir trace tache mer.,41.72 €,CLOUD,2025-05-22 04:33:52,CRM_System
71,ABN00071,FRN0013,Advanced discrete array,"Management game find. Your less social form such weight argue.
Myself consider time economic. Stock business should eat side kitchen. Current same behind.",18.44 €,streaming,2025-05-10 11:01:22,Manual_Entry
72,ABN00072,FRN0017,Extended bifurcated encoding,Élément d'autres sien. Rejoindre trésor saint.,94.11,Cloud Storage,2025-05-03 21:34:10,Manual_Entry
73,ABN00073,FRN0016,Optional fresh-thinking access,Avec aspect rejoindre étouffer rouge gauche. Solitude déchirer penser observer. Parti part article.,39.37 €,MUSIC,2025-01-10 13:48:22,Web_Form
74,ABN00074,FRN0017,Down-sized even-keeled paradigm,"Dire fort habiter pouvoir reconnaître jeune. Juge pensée côte où pur. Depuis disparaître gris politique muet.
Goutte étrange ensuite notre ainsi émotion. Où voiture hésiter chat appuyer rouler.",19.72,Cloud Storage,2025-01-24 05:36:27,Mobile_App_v2
75,ABN00075,FRN0020,L'assurance de concrétiser vos projets naturellement,"Crainte marquer courant maintenir dieu joindre.
Ferme tantôt mal. Commencer droite résistance ouvert arriver.
Flamme doigt seul petit.
Éclat sourd finir. Loi presque taire joue nouveau battre.",63.71 €,Cloud Storage,2025-03-18 20:36:01,Legacy_DB
76,ABN00076,FRN0015,L'art d'atteindre vos buts à l'état pur,"Why ok real. Choice side eat matter rather full wide service.
Green child movie blue. Discussion word small series south just cover.",39.61 €,streaming,2025-04-09 05:56:02,Web_Form
77,ABN00077,FRN0019,Le plaisir d'atteindre vos buts à la pointe,Third people hair per. Return probably much hold model marriage. Child executive important focus benefit probably analysis.,"84,34",FORFAIT APPEL CONX,2025-05-20 09:24:03,Mobile_App_v2
78,ABN00078,FRN0020,Compatible 24/7 database,"Life police guess sea. State some around pay more same. Back democratic mind big discuss.
Cover prevent now way next. Indeed black police group learn professor third. Society nearly measure price.",52.78 €,TELECOM,2025-02-28 14:41:02,Mobile_App_v2
79,ABN00079,FRN0017,Le pouvoir de changer sans soucis,"Victime témoin épais médecin coûter champ. Politique cour chambre portier surprendre tellement gris.
Terre ennemi mille troubler caresser ennemi souffrir. Réfléchir souffrir garde.",9.96,CLOUD,2025-04-28 10:09:39,CRM_System
80,ABN00080,FRN0008,La liberté de louer plus facilement,"Worker Democrat fire sign wall.
Memory number occur behind leave choose enter. Economic eight feel now notice design baby foot.","19,0",CLOUD,2025-03-17 05:41:44,CRM_System
81,ABN00081,FRN0008,Optional intangible capability,Chambre convenir ancien réduire affaire dix gagner. Rassurer aujourd'hui toucher voici soit. Porter soit souvenir grand remonter offrir saison.,44.42,CLOUD,2025-01-10 13:44:00,CRM_System
82,ABN00082,FRN0016,L'assurance de concrétiser vos projets autrement,Up plant place approach modern floor north force. Check purpose young wife send.,66.75 €,TELECOM,2025-03-01 03:19:30,Manual_Entry
83,ABN00083,FRN0005,Le droit d'évoluer autrement,"Range office both including half couple. Order agency fight write pattern wrong. Perhaps key under do rate choose.
Science drug per challenge. Add really born late age.",25,Cloud Storage,2025-02-27 04:05:43,API_Import
84,ABN00084,FRN0014,Function-based composite approach,"Smile peace apply pressure across. Produce production tree growth blue fall.
Woman meet report tough machine. Mother cost may leader unit again easy morning. Majority season adult range green few.",10,FORFAIT APPEL CONX,2025-04-30 01:24:46,CRM_System
85,ABN00085,FRN0008,La possibilité d'évoluer naturellement,Profiter calme rencontrer transformer. Chaîne garçon humain conclure nombreux prêter cour. Beau entre peine prétendre coin puisque beauté.,90.99 €,CLOUD,2025-05-02 11:09:21,Legacy_DB
86,ABN00086,FRN0017,L'assurance d'évoluer plus rapidement,"Drive check wife travel forget my. Present ok range dark catch.
Involve training show prevent. True fish newspaper we brother fish they. She they increase.",EUR 59.21,STREAMING,2025-01-26 13:09:55,API_Import
87,ABN00087,FRN0002,Robust methodical structure,System man case cover. Impact why understand. Development provide dark daughter computer western.,"6,93",CLOUD,2025-01-09 05:40:20,Mobile_App_v2
88,ABN00088,FRN0004,Le droit de concrétiser vos projets à la pointe,"Source demeurer noire jamais fuir aventure obéir derrière.
Page million salle armée chemin. Année si placer secret égal tirer. Brusquement votre claire.",67,Cloud Storage,2025-01-13 14:34:35,Mobile_App_v2
89,ABN00089,FRN0015,Fully-configurable multi-state monitoring,Chacun poursuivre dormir mal maison pousser or. Mort violence malgré battre.,"66,07",Cloud Storage,2025-03-18 19:40:54,Web_Form
90,ABN00090,FRN0002,Le pouvoir de rouler avant-tout,"Hold share while couple keep this similar.
Coach family try ready tough less position. Reveal both single visit.
Hotel food agent law. Think bed food possible represent. Responsibility but box last.",10.99 €,STREAMING,2025-03-09 21:29:14,Mobile_App_v2
91,ABN00091,FRN0007,L'assurance d'avancer en toute tranquilité,Mer refuser calme espace forêt montagne veille. Conversation science toile jeter.,EUR 98.97,CLOUD,2025-01-13 20:34:30,CRM_System
92,ABN00092,FRN0015,L'assurance de rouler avant-tout,Phone brother capital dark performance. Activity marriage material space part. Down open little improve bag outside each.,"39,96",CLOUD,2025-03-14 20:44:55,Web_Form
93,ABN00093,FRN0014,L'avantage d'atteindre vos buts plus facilement,Soin ramasser près enfermer. Doigt bas sou. Humide tuer cuisine elle cacher réponse. Tenir heureux air joie lèvre.,52.14,FORFAIT APPEL CONX,2025-01-09 13:11:40,API_Import
94,ABN00094,FRN0010,L'art de concrétiser vos projets de manière efficace,"Réflexion queue aile rayon pas créer coup. Doucement ensemble hauteur caractère cher.
Affirmer papa lourd coûter. Mentir doigt trésor rêver mouvement comment.",EUR 32.91,FORFAIT APPEL CONX,2025-03-02 16:04:44,API_Import
95,ABN00095,FRN0012,Horizontal reciprocal protocol,Preuve plan marché vieillard rapport. Monsieur besoin révéler précéder blanc encore pauvre. Intérêt trou charger supporter devoir face connaissance.,74,FORFAIT APPEL CONX,2025-05-01 13:29:11,Mobile_App_v2
96,ABN00096,FRN0017,Team-oriented tangible policy,Concern lay often use behavior federal happy. Star serve successful assume likely business. Forget including decide decade around.,80.19 €,STREAMING,2025-02-17 07:40:57,Web_Form
97,ABN00097,FRN0012,Le droit d'atteindre vos buts plus rapidement,"Let someone scene. Son yourself increase free night.
Political real effort. Film media food accept.",EUR 46.63,FORFAIT APPEL CONX,2025-05-12 16:37:48,API_Import
98,ABN00098,FRN0003,L'avantage de louer à la pointe,"Peur avec tout mouvement. Calmer nouveau entrer blanc histoire en frapper.
Pont nouveau rue envie. Beaucoup rouge souvenir taille. Rare peu idée. Flot musique côte point engager.",47,MUSIC,2025-03-03 06:20:59,API_Import
99,ABN00099,FRN0006,Le pouvoir d'atteindre vos buts autrement,"Affect officer forward trouble somebody at chance. Fund heart move. Number hope organization ten.
Report even beautiful theory he stop. Democratic few born size sing.","96,25",streaming,2025-03-26 12:07:57,Legacy_DB
100,ABN00100,FRN0020,La liberté d'évoluer naturellement,"Least require mission. Financial analysis summer.
Level animal minute probably fine officer. Police decide customer expert mother.",EUR 78.62,Cloud Storage,2025-01-28 00:06:28,Legacy_DB
101,ABN00101,FRN0037,Ergonomic foreground time-frame,"Clearly poor option type. Social join brother. What news American service model ahead.
Surface agency feel. Explain term wall drug baby four service skill. Set believe pretty explain new son explain.",36,FORFAIT APPEL CONX,2025-03-06 10:55:23,CRM_System
102,ABN00102,FRN0016,Reactive fresh-thinking hardware,"Nourrir rendre demande.
Auteur expliquer fruit mêler. Accuser inquiétude odeur. Attaquer léger chaise.
Aller impossible ou. Content rencontrer perdu comment. Brusquement mauvais fier appel.",EUR 58.43,FORFAIT APPEL CONX,2025-01-11 10:41:46,Manual_Entry
103,ABN00103,FRN0028,Proactive zero tolerance hub,Fill should name everything office say street. Who note any fear throw mind song investment. At any former least do series. Know amount human century increase unit.,50.88,FORFAIT APPEL CONX,2025-01-29 02:20:58,Web_Form
104,ABN00104,FRN0008,Digitized eco-centric conglomeration,"Éclater repousser tache connaissance charger. Affirmer etc croix noir rapport chanter.
Dominer que homme semaine sourd fer ailleurs pleurer.",76.9,FORFAIT APPEL CONX,2025-02-11 06:44:59,Legacy_DB
105,ABN00105,FRN0026,Innovative multimedia ability,"Bag remember film result garden.
Blue movement firm example what up his street. Speak address everyone hard article you defense. Per full outside grow.",21.22,CLOUD,2025-05-15 00:22:19,CRM_System
106,ABN00106,FRN0040,Secured radical array,Between far church catch. Ago beautiful less until. Toward grow drive compare.,EUR 92.59,streaming,2025-04-22 15:33:57,Manual_Entry
107,ABN00107,FRN0024,Re-engineered disintermediate project,"User marier toile beaucoup révolution mauvais. Votre premier puis révéler sourire devant.
Respect te lourd glace croiser feuille. Te lèvre divers image. Longtemps défendre sable.",95,streaming,2025-02-17 06:52:44,Mobile_App_v2
108,ABN00108,FRN0009,L'assurance d'innover à la pointe,"Hors tuer ligne car mouvement. Fuir dormir construire prévoir accuser aujourd'hui combat. Port quel soirée expérience envoyer souffler recommencer.
Aide mener fermer ressembler.",25.01 €,streaming,2025-01-27 23:09:06,Manual_Entry
109,ABN00109,FRN0001,L'avantage de rouler autrement,"Résultat essayer mêler semaine baisser siècle témoin.
Yeux fixer appartenir ailleurs nouveau sein nom. Politique désirer caresser blanc se. Baisser billet source énorme peur mieux famille.",EUR 44.55,Cloud Storage,2025-02-11 02:20:37,Web_Form
110,ABN00110,FRN0039,Multi-layered regional definition,"Maintain page able position contain ok game between. Contain future resource quality. Ask science government outside able last young.
A soldier general sound describe. Bar his physical let site.",13.92 €,STREAMING,2025-02-23 22:20:04,Mobile_App_v2
111,ABN00111,FRN0019,Total bi-directional artificial intelligence,Into inside into around computer likely to. At ago offer network start possible. Natural image avoid return art car attorney.,"6,34",streaming,2025-01-31 03:48:29,Manual_Entry
112,ABN00112,FRN0013,Compatible client-driven implementation,"Positive happen determine marriage bar. Paper court always voice. Law from traditional now Mrs.
Reflect available century join outside. Maybe herself partner camera long who require billion.",34.05,streaming,2025-03-22 04:07:38,Web_Form
113,ABN00113,FRN0034,Optimized hybrid frame,Homme fenêtre moyen. Dessiner naturellement préparer société guère chemin art assurer. Disposer pauvre afin de chance.,17,Cloud Storage,2025-02-07 09:49:47,Legacy_DB
114,ABN00114,FRN0040,Le droit de rouler de manière efficace,Circonstance bien relation tuer. Préférer briser campagne genre autant comprendre parole.,"31,34",MUSIC,2025-02-05 17:27:05,Web_Form
115,ABN00115,FRN0010,Le confort d'atteindre vos buts plus rapidement,Tend theory the hard south maintain. Firm generation while travel major. Pull finish seem party within employee.,27.02 €,FORFAIT APPEL CONX,2025-01-28 18:24:10,CRM_System
116,ABN00116,FRN0031,Synergistic actuating instruction set,Then represent conference war science reduce pass. Sing either theory term authority offer feeling than.,EUR 9.96,CLOUD,2025-03-10 03:04:04,API_Import
117,ABN00117,FRN0023,Le confort de rouler à l'état pur,"Prier achever pur habitude entrer vague relation. Énergie promener vide empêcher compte.
Genre dame parti fil vers briser. Escalier accomplir leur quelque.",EUR 42.36,TELECOM,2025-03-17 05:32:23,API_Import
118,ABN00118,FRN0018,L'assurance d'avancer sans soucis,"Learn data power. Care fall new subject want way similar.
Population thing really unit recognize especially. Response house hundred role.
Culture picture provide support six space.",12.43 €,TELECOM,2025-03-27 19:32:31,Legacy_DB
119,ABN00119,FRN0028,La possibilité de concrétiser vos projets à la pointe,"École instant avis circonstance attaquer couvrir affaire gagner. Riche embrasser moitié votre.
Demain soi rocher emporter. Promettre souffler rapidement menacer trou.",EUR 79.95,MUSIC,2025-02-11 06:23:51,CRM_System
